,title,artist,date,description,text,tags,group,Dirigido a,Ubicación,Duración,Precio,event,category,url,image
0,Sonidos de barrio,Kleber Mendonça Filho,15 jul 2023,"La película narra las realidades violentas ocultas dentro de los círculos adinerados de la ciudad de Recife, en contraposición con los estereotipos clasistas vinculados a las favelas de Brasil. Primer largometraje de Kleber Mendonça Filho, estrenado en el Festival Internacional de Cine de Róterdam en 2012 y considerada una de las mejores diez películas de ese año por The New York Times.","Sonidos de barrio, de Kleber Mendoça Filho. Brazil, 2012. 131 min.
La vida en un barrio residencial en la actual Recife, Brasil, toma un giro inesperado después de la llegada de una empresa independiente de seguridad privada. La presencia de estos hombres trae cierta sensación de seguridad, pero también una buena cantidad de ansiedad a la comunidad que se rige bajo el miedo. Mientras tanto, Bia, casada y madre de dos hijos, debe encontrar la manera de lidiar con los ladridos y aullidos del perro de su vecino. Un acercamiento al Brasil contemporáneo, una reflexión sobre la historia, la violencia y el ruido.
Nacido en Recife, Brasil, Kleber Mendonça Filho se convirtió en programador y crítico de cine mientras realizaba cortometrajes. Sonidos de barrio, su primer largometraje, tuvo su estreno mundial en el Festival Internacional de Cine de Róterdam en 2012 y fue la entrada de Brasil en la carrera por los Oscar. The New York Times la incluye entre las diez mejores películas de ese año. Su segundo largometraje Aquarius, protagonizado por Sonia Braga, compitió en el 69° Festival de Cine de Cannes, en 2016, antes de ser nominado al César y al Independent Spirit Award. En 2019, Bacurau, codirigida por Juliano Dornelles, proyectada en competición en Cannes fue galardonada con el Premio del Jurado. Kleber también es programador de cine del Instituto Moreira Salles en Río de Janeiro y São Paulo, y director artístico de Janela Internacional de Cinema do Recife.",['#Audiovisuales'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora 59 minutos,4€,No details,['CINE'],https://www.lacasaencendida.es/cine/sonidos-de-barrio-de-kleber-mendonca-filho,https://www.lacasaencendida.es/storage/14817/responsive-images/sonidos-de-barrio___detail_1600_1065.jpg
1,Cashu,No definido,14 jul 2023,"Carolina Schutzer, alias DJ Cashu, es una de las figuras clave de la escena de música electrónica underground queer de São Paulo.","En un intento de ocupar y descentralizar la escena paulista, DJ Cashu y Carneosso crean Mamba Negra. Colectivo especializado en susblock parties que suelen tener lugar en partes de la ciudad abandonadas y deshabitadas, como casas ocupadas por estudiantes y artistas, que impulsan la lucha por la representación femenina y la libertad sexual y de género.
El colectivo se forma en 2013 como una plataforma para la música en vivo y desde entonces se ha consolidado como una de las principales fiestas de música electrónica de São Paulo y se ha expandido para convertirse en un sello, agencia y emisora de radio.
Cashu ha tocado en más de 15 ciudades y ha participado en varios colectivos que trabajan para ocupar, descentralizar y hackear la escena nocturna brasileña. Ha actuado recientemente en Sónar con Badsista, en el festival Dekmantel de São Paulo, en Panorama Bar/Berghain, en el festival Red Bull Music Academy de São Paulo, en el festival Coquetel Molotov de Recife y en el CCBB Música. Performance.",['#Música'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora,8€,Apertura de puertas a las 20:30 h.,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/cashu,https://www.lacasaencendida.es/storage/15099/responsive-images/cashu___detail_1600_1070.jpg
2,El orden divino,Petra Biondina Volpe,13 jul 2023,"En los años setenta, las mujeres no podían votar en Suiza. La película cuenta la odisea de Nora, una joven ama de casa, en su pequeño pueblo. Charla posterior con la filósofa Marifé Santiago Bolaños.","El orden divino, de Petra Biondina Volpe, Suiza, 2017. 96 min. VOSE.
Hacer una huelga para conseguir el voto femenino es el tema de la cuarta y última sesión del ciclo 'Gestos para cambiar el mundo'.
En el pueblo de la protagonista, la revolución sexual, las protestas por los derechos civiles o los movimientos contraculturales quedan muy lejos. Pero un día, algo se remueve en su interior cuando su marido no le deja aceptar un trabajo.
Entonces, poco a poco, se interesará por el sufragio femenino y arrastrará a más mujeres del pueblo para participar en una huelga y conseguir esa libertad que se van dando cuenta que no tienen. Entre todas crearán un espacio propio y especial donde expresar lo que sienten y luchar juntas, a pesar de los obstáculos, por una sociedad más igualitaria.",['#Feminismos'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con: 
Marifé Santiago Bolaños, poeta, filósofa y profesora de Estética y Teoría de las Artes en la Facultad de Filosofía de la UCM
Comisariado por: 
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/el-orden-divino-de-petra-biondina-volpe,https://www.lacasaencendida.es/storage/13824/responsive-images/el-orden-divino-de-petra-biondina-volpe___detail_1600_1067.jpg
3,Loving,Jeff Nichols,11 jul 2023,En la tercera sesión del ciclo 'Gestos necesarios para cambiar el mundo'  trataremos de analizar los pasos para acabar con el racismo. Charla posterior con el periodista Moha Gerehou.,"Loving, de Jeff Nichols, EEUU, 2016. 120 min. VOSE.
No hace tanto tiempo, las leyes de varios estados de EEUU, entre ellos Virginia, condenaban los matrimonios interraciales. Y fueron los Loving, después de años de litigio, los que consiguieron que el Tribunal Supremo derogase esas leyes racistas el 12 de junio de 1967. Pero el director de cine Jeff Nichols no cuenta la historia de esta pareja desde los tribunales, las manifestaciones, la algarabía de la prensa o las grandes frases, sino que indaga en la intimidad de este matrimonio condenado al exilio.
Así son los Loving. Richard le pide a su abogado: «Dile al juez que quiero a mi mujer». Solo desea la tranquilidad de estar con ella y con sus hijos sin miedo a que les detengan o les hagan daño. Mildred es fuerte, ama a su familia y da importancia a la naturaleza y a las raíces. Por eso siente que se apaga en el exilio, pues le hacen vivir una vida que no quiere.",['#Antirracismo / migración'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con: 
Moha Gerehou, periodista y experto en divulgación antirracista.
  Comisariado por: 
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/loving-de-jeff-nichols,https://www.lacasaencendida.es/storage/13815/responsive-images/loving-de-jeff-nichols___detail_1600_1065.jpg
4,Greener Grass,Jocelyn DeBoer y Dawn Luebbe,8 jul 2023,"Considerada una de las piezas más imaginativas y extrañas de 2019. Una comedia satírica que deja al descubierto las falsas apariencias de un perfecto barrio residencial de clase media americana a través de una sucesión de delirios que conjugan el cine de David Lynch, Todd Solondz y Tim Burton.","Greener Grass, de Jocelyn DeBoer y Dawn Luebbe. Estados Unidos, 2019. 96 min.
Jill y Lisa son enemigas íntimas, amas de casa y mamás de los suburbios norteamericanos en los que la gente conduce carritos de golf, lleva brackets -aunque su dentadura sea perfecta- y donde la rabia pasivo-agresiva se ha convertido en una nueva forma de cortesía. Jill necesita complacer a la gente. Cuando Lisa dice que su nuevo bebé es adorable, Jill se lo ofrece impulsivamente y Lisa acepta.
Estrenada en el festival de Sundance de 2019, ha dejado huella por donde ha pasado. Gran parte de este mérito se debe a la apuesta arriesgada de Jocelyn DeBoer y Dawn Luebbe, directoras, guionistas y protagonistas del largometraje. El éxito del cortometraje, titulado con el mismo nombre que el largo, lleva a producir la que se considera una de las piezas más imaginativas y extrañas de 2019.",['#Audiovisuales'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora 45 minutos,4€,No details,['CINE'],https://www.lacasaencendida.es/cine/greener-grass-de-jocelyn-deboer-y-dawn-luebbe,https://www.lacasaencendida.es/storage/14816/responsive-images/greener-grass-de-jocelyn-deboer-y-dawn-luebbe___detail_1600_681.jpg
5,SIMONA,No definido,7 jul 2023,"Su música es tan comprometida como su persona: en sus canciones habla de la vida de migrante, de feminismo, de igualdad de género, de visibilización queer y del amor propio. Su estilo único le ha llevado a tocar en festivales como Sónar o BBK Live.","SIMONA es una cantante y compositora argentina afincada en Barcelona. Su primer sencillo Bali le hizo ganar una posición en la escena musical emergente, pero lo que le ha hecho establecerse y ganar reconocimiento ha sido su constante capacidad de reinventarse y explorar géneros distintos. 
Tras publicar en mayo del año pasado su primer EP Mimo, en La Terraza Magnética presenta su primer LP Esfera de amor, un disco donde se ve a una SIMONA más madura que retrata su nuevo camino como artista. Su estilo único le ha llevado a recorrer toda España, Argentina y México, tocando en festivales como Sónar, Festival B, BBK Live, Observatorio, Bahidora y Lollapalooza, y a colaborar con artistas como Lee Eye, Chico Blanco, Irene Garry, Broke Carrey, Anyi, Aww o Six Sex.",['#Música'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora 30 minutos,8€,Apertura de puertas a las 20:30 h.,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/simona,https://www.lacasaencendida.es/storage/14904/responsive-images/simona___detail_800_1200.jpg
6,Para Sama,"Waad al-Kateab, Edward Watts",6 jul 2023,"Para Sama es una carta de amor de una joven madre a su hija. Cuenta la historia de Waad Al-Kateab a lo largo de cinco años de guerra en Alepo, Siria. Charla posterior con la fotógrafa Carole Alfarah.","Para Sama, de Waad al-Kateab, Edward Watts, Reino Unido, 2019. 96 min. VOSE.
En la segunda sesión del ciclo 'Gestos necesarios para cambiar el mundo', su protagonista se centra en grabar con una cámara para dejar muestra de lo que está pasando.
Waad no deja nunca de grabar todo lo que la rodea. Durante esos años se enamora, se casa y da a luz a Sama, mientras una guerra devastadora destruye el país. Su cámara captura historias dolorosas y terribles, pero también las ganas de vivir, la risa, la solidaridad y la fuerza de la supervivencia.
La joven madre tiene que decidir si huir o no de la ciudad para proteger la vida de su hija, pero sabe que irse significa abandonar la lucha por la que se han sacrificado tanto su marido, sus amigos y ella. Para escribir su carta a Sama utiliza una cámara, no quiere dejar de mirar.
   ",['#Contextos internacionales #Audiovisuales'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con:
Carole Alfarah, fotógrafa documental y narradora multimedia independiente. Captó con su cámara la sociedad civil durante el conflicto sirio. 
Comisariado por: 
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/para-sama-de-waad-al-kateab-edward-watts,https://www.lacasaencendida.es/storage/13816/responsive-images/para-sama___detail_1600_900.jpg
7,Solo nos queda bailar,Levan Akin,4 jul 2023,Sesión inaugural del ciclo 'Gestos necesarios para cambiar el mundo' centrada en este caso en el baile como vía para afianzar la diversidad e identidad sexual. Charla posterior con José Manuel Carrasco.,"Solo nos queda bailar, de Levan Akin, Suecia, 2019. 113 min. VOSE.
Merab está enamorado de Irakli. La atracción entre los dos se nota cuando bailan juntos. El erotismo se percibe, se respira. Son jóvenes y están dentro de una compañía nacional de danza georgiana donde no hay sitio para la homosexualidad. Como dice un maestro: «La danza georgiana se apoya en lo masculino. Aquí no hay espacio para la debilidad», y otro, guardián de la tradición, añade: «La danza georgiana no son solo pasos. Es la expresión de la sangre de nuestra nación».
Pero Merab descubre tanto el amor como su sexualidad y, con su cuerpo, se siente libre de amar a Irakli. Tan libre como cuando baila. También posee la capacidad para apasionarse y respetar la danza georgiana y su tradición, y luchar por conseguir una plaza importante como bailarín.",['#Audiovisuales #LGTBIQ'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con:
José Manuel Carrasco, director de cine, guionista y profesor de dirección en la ECAM.
Comisariado por:
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.
 ","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/solo-nos-queda-bailar-de-levan-akin,https://www.lacasaencendida.es/storage/13817/responsive-images/solo-nos-queda-bailar-de-levan-akin___detail_1600_907.jpg
8,Ema,Pablo Larraín,1 jul 2023,El director nominado al Oscar por No representa en este trabajo los conflictos intrínsecos de la maternidad a través de una mujer que usa el baile como acto de rebeldía para reclamar la libertad que la sociedad le ha arrebatado. ,"Ema, de Pablo Larraín. Chile, 2019. 107 min
Ema es una bailarina de reggaetón magnética e impulsiva. Después de un grave incidente que cambia su vida familiar y su tóxico matrimonio con un coreógrafo, Ema se embarca en una cruzada de liberación personal, sin importarle a quien tenga que seducir o destruir para lograr su objetivo.
Pablo Larraín (Santiago de Chile, 1976) debuta en 2006 con su primer largometraje Fuga, tras fundar la productora Fábula en 2003. Pronto gana reconocimiento con la trilogía sobre la dictadura de Pinochet: Tony Manero (2008), Post Mortem (2010) y No (2012). Por esta última recibe su primera nominación al Óscar. Simultáneamente dirige Prófugos (2011), la primera serie producida en Chile para HBO Latinoamérica. En 2015 gana el Oso de Plata por El Club y más tarde estrena los biopics Neruda (2016), Jackie (2016) y Spencer (2021).",['#Audiovisuales'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora 59 minutos,4€,"La actriz protagonista Mariana di Girolamo presentará la película y mantendrá una conversación con el público, previa a la proyección. ",['CINE'],https://www.lacasaencendida.es/cine/ema-de-pablo-larrain,https://www.lacasaencendida.es/storage/14995/responsive-images/Ema_04_Fabula-%281%29___detail_1600_670.jpg
9,Dinamarca,No definido,30 jun 2023,"La música de Dinamarca llega directa al corazón, tejiendo paisajes nostálgicos que recuerdan atardeceres y memorias de su infancia. Fusiona las percusiones latinas y caribeñas del reggaetón con las melodías trance y pop de finales de los 90 y 2000.","Cristian Dinamarca es un dj y productor afincado en Estocolmo. Co-fundador del sello Staycore con Ghazal, se ha convertido en un referente para la música de club que conecta escenas locales.
Nacido en Chile y criado en Suecia, sus producciones fusionan las percusiones latinas y caribeñas del reggaetón con las melodías trance y pop de finales de los 90’s y 2000’s.
Ha colaborado con artistas como Eartheater, Ms. Nina, COUCOU CHLOE, La Favi, Rusowsky y Dellafuente. En 2023 publica su sexto disco, Soñao, diez temas que mezclan los ritmos rotos del drum’n’bass, el perreo etéreo y la samba, con las colaboraciones de artistas como Meth Math, Amore o Ralphie Choo.",['#Música'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora,8€,Apertura de puertas a las 20:30 h.,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/dinamarca,https://www.lacasaencendida.es/storage/14903/responsive-images/dinamarca___detail_1600_1062.jpg
10,Muestra de Cine de Lavapiés,No definido,29 jun 2023,"Como parte de Un Piano preparado, la Muestra incluirá por primera vez a La Casa Encendida en su red de espacios de exhibición.","La Muestra de cine de Lavapiés usa el cine como medio para fomentar lugares de encuentro entre vecinas. Se desarrolla en distintos espacios del barrio desde su primera edición. Con carácter de cine club, cada proyección incluye una pequeña presentación y una discusión colectiva.
Esta iniciativa cuenta con una red de espacios de proyección no convencionales, como por ejemplo La Eskalera Karakola –un centro social feminista autogestionado, situado en la calle Embajadores–, o el solar Esto es una Plaza de la calle Doctor Fourquet, que se recuperó en 2008 como parte de un grupo de ciudadanos interesados en dar uso a ese espacio.
Películas:
Port Trade Portrait (David Batlle, 2014). Documental. 36'
Un retrato del antiguo puerto de mercancías de Barcelona, actualmente transformado en espacio de ocio turístico. De los mismos muelles que zarparon los barcos negreros que enriquecieron a la burguesía barcelonesa, hoy turistas pasean junto africanos que intentan salir adelante bajo la presión de persecuciones y detenciones.
Arrhash (Tarik El Idrissi y Javier Rada, 2009) Documental. 44'
Entre 1923 y 1927, el ejército español bombardeó con gas mostaza a la población civil durante la guerra del Rif. España se convirtió en una de las primeras potencias en utilizar estos métodos de exterminio y consiguió que su crimen permaneciese en un conveniente olvido. Casi un siglo después, un joven rifeño, residente en Madrid, inicia una carrera contra reloj para salvaguardar la memoria de los últimos testigos de aquella guerra. El Gobierno español nunca ha admitido tales crímenes. Y las víctimas, muy ancianas, amenazan con morir sin haber explicado qué ocurrió durante aquellos años de asfixia y muerte.",['#Artes Visuales / Plásticas'],Un piano preparado,,Sala Audiovisual,2 horas,Gratis,Entrada gratuita,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/muestra-de-cine-de-lavapies,https://www.lacasaencendida.es/storage/13178/responsive-images/muestra-de-cine-de-lavapies___detail_1600_900.jpg
